DATE,TIME,当日実績(万kW)
2019/11/08,00:00,70
2019/11/08,01:00,67
2019/11/08,02:00,68
2019/11/08,03:00,70
2019/11/08,04:00,71
2019/11/08,05:00,71
2019/11/08,06:00,74
2019/11/08,07:00,79
2019/11/08,08:00,86
2019/11/08,09:00,94
2019/11/08,10:00,97
2019/11/08,11:00,95
2019/11/08,12:00,93
2019/11/08,13:00,96
2019/11/08,14:00,97
2019/11/08,15:00,95
2019/11/08,16:00,93
2019/11/08,17:00,92
2019/11/08,18:00,95
2019/11/08,19:00,92
2019/11/08,20:00,89
2019/11/08,21:00,84
2019/11/08,22:00,82
2019/11/08,23:00,78
