,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,風力実績
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2021/2/1,0:00,3602,0,3199,548,,62,0,26
2021/2/1,1:00,3729,0,3291,466,,63,0,26
2021/2/1,2:00,3895,0,3392,572,,62,0,24
2021/2/1,3:00,3986,0,3469,738,,63,0,21
2021/2/1,4:00,3966,0,3494,707,,63,0,30
2021/2/1,5:00,3956,0,3483,661,,61,0,37
2021/2/1,6:00,4116,0,3537,769,,62,0,41
2021/2/1,7:00,4199,0,3571,772,,62,36,41
2021/2/1,8:00,4391,0,3553,631,,62,140,36
2021/2/1,9:00,4475,0,3438,626,,62,311,33
2021/2/1,10:00,4343,0,3215,589,,61,417,34
2021/2/1,11:00,4328,0,3158,574,,62,294,31
2021/2/1,12:00,4117,0,3217,567,,61,196,30
2021/2/1,13:00,4204,0,3346,476,,62,149,40
2021/2/1,14:00,4229,0,3451,599,,57,61,87
2021/2/1,15:00,4220,0,3543,620,,57,31,109
2021/2/1,16:00,4271,0,3590,745,,58,13,94
2021/2/1,17:00,4238,0,3580,792,,57,0,73
2021/2/1,18:00,4182,0,3556,785,,57,0,91
2021/2/1,19:00,4008,0,3377,877,,58,0,103
2021/2/1,20:00,3853,0,3251,811,,58,0,96
2021/2/1,21:00,3680,0,3193,658,,58,0,81
2021/2/1,22:00,3595,0,3087,596,,57,0,87
2021/2/1,23:00,3561,0,3035,606,,57,0,91
2021/2/2,0:00,3510,0,3023,557,,58,0,87
2021/2/2,1:00,3618,0,3026,612,,58,0,97
2021/2/2,2:00,3838,0,3020,769,,58,0,86
2021/2/2,3:00,3970,0,3095,786,,57,0,94
2021/2/2,4:00,3954,0,3116,839,,58,0,82
2021/2/2,5:00,3875,0,3112,783,,58,0,84
2021/2/2,6:00,3845,0,3242,843,,58,0,83
2021/2/2,7:00,3860,0,3344,889,,58,5,76
2021/2/2,8:00,4147,0,3350,963,,57,45,57
2021/2/2,9:00,4338,0,3281,806,,58,98,60
2021/2/2,10:00,4290,0,3076,709,,58,134,76
2021/2/2,11:00,4340,0,3138,713,,57,126,97
2021/2/2,12:00,4228,0,3176,738,,58,90,102
2021/2/2,13:00,4459,0,3307,784,,57,65,76
2021/2/2,14:00,4537,0,3439,763,,58,58,50
2021/2/2,15:00,4505,0,3518,706,,57,46,39
2021/2/2,16:00,4602,0,3501,935,,58,18,27
2021/2/2,17:00,4619,0,3445,1002,,57,1,17
2021/2/2,18:00,4586,0,3499,1002,,58,0,12
2021/2/2,19:00,4408,0,3379,1013,,58,0,14
2021/2/2,20:00,4295,0,3356,954,,57,0,15
2021/2/2,21:00,4116,0,3250,1009,,58,0,19
2021/2/2,22:00,4001,0,3155,852,,58,0,71
2021/2/2,23:00,4013,0,3126,739,,57,0,90
2021/2/3,0:00,3956,0,3009,796,,58,0,102
2021/2/3,1:00,4105,0,3063,789,,57,0,110
2021/2/3,2:00,4272,0,3068,803,,58,0,111
2021/2/3,3:00,4346,0,3100,789,,58,0,117
2021/2/3,4:00,4309,0,3115,865,,57,0,121
2021/2/3,5:00,4244,0,3242,956,,58,0,120
2021/2/3,6:00,4302,0,3333,938,,57,0,116
2021/2/3,7:00,4333,0,3440,888,,57,15,78
2021/2/3,8:00,4626,0,3476,1034,,58,72,59
2021/2/3,9:00,4799,0,3469,1061,,57,112,47
2021/2/3,10:00,4788,0,3464,961,,57,200,39
2021/2/3,11:00,4705,0,3371,678,,58,259,48
2021/2/3,12:00,4423,0,3116,585,,57,288,46
2021/2/3,13:00,4542,0,3258,600,,57,296,58
2021/2/3,14:00,4541,0,3336,705,,57,177,60
2021/2/3,15:00,4545,0,3360,802,,58,98,68
2021/2/3,16:00,4616,0,3423,1051,,57,25,56
2021/2/3,17:00,4637,0,3421,1083,,57,1,60
2021/2/3,18:00,4630,0,3453,1143,,58,0,71
2021/2/3,19:00,4474,0,3527,973,,57,0,81
2021/2/3,20:00,4340,0,3497,914,,57,0,90
2021/2/3,21:00,4216,0,3519,854,,58,0,101
2021/2/3,22:00,4109,0,3479,685,,58,0,98
2021/2/3,23:00,4110,0,3468,589,,58,0,90
2021/2/4,0:00,4000,0,3475,604,,57,0,80
2021/2/4,1:00,4103,0,3494,609,,59,0,72
2021/2/4,2:00,4222,0,3411,705,,59,0,59
2021/2/4,3:00,4278,0,3394,791,,58,0,67
2021/2/4,4:00,4189,0,3351,856,,59,0,80
2021/2/4,5:00,4130,0,3392,798,,59,0,87
2021/2/4,6:00,4218,0,3449,883,,59,0,90
2021/2/4,7:00,4286,0,3569,871,,58,17,93
2021/2/4,8:00,4599,0,3601,997,,58,29,61
2021/2/4,9:00,4890,0,3707,954,,59,48,67
2021/2/4,10:00,4937,0,3724,917,,58,72,73
2021/2/4,11:00,4877,0,3702,633,,59,89,80
2021/2/4,12:00,4623,0,3522,529,,58,98,87
2021/2/4,13:00,4712,0,3502,659,,58,93,87
2021/2/4,14:00,4691,0,3372,798,,59,85,86
2021/2/4,15:00,4639,0,3365,889,,58,59,72
2021/2/4,16:00,4676,0,3529,975,,58,27,70
2021/2/4,17:00,4711,0,3553,1035,,58,1,79
2021/2/4,18:00,4705,0,3604,1065,,58,0,70
2021/2/4,19:00,4550,0,3530,1062,,59,0,72
2021/2/4,20:00,4385,0,3478,994,,58,0,84
2021/2/4,21:00,4206,0,3405,975,,58,0,94
2021/2/4,22:00,4110,0,3287,894,,59,0,98
2021/2/4,23:00,4143,0,3238,929,,59,0,87
2021/2/5,0:00,4096,0,3061,728,,59,0,62
2021/2/5,1:00,4183,0,3082,572,,59,0,30
2021/2/5,2:00,4375,0,3148,658,,60,0,19
2021/2/5,3:00,4414,0,3153,723,,59,0,13
2021/2/5,4:00,4324,0,3108,711,,58,0,9
2021/2/5,5:00,4260,0,3111,667,,59,0,7
2021/2/5,6:00,4340,0,3167,797,,59,0,8
2021/2/5,7:00,4373,0,3195,810,,59,22,12
2021/2/5,8:00,4609,0,3254,963,,58,88,16
2021/2/5,9:00,4746,0,3250,858,,59,228,16
2021/2/5,10:00,4576,0,3136,785,,58,372,21
2021/2/5,11:00,4444,0,2964,717,,58,419,19
2021/2/5,12:00,4099,0,2972,584,,60,453,35
2021/2/5,13:00,4128,0,2963,556,,59,492,46
2021/2/5,14:00,4023,0,2944,587,,59,405,47
2021/2/5,15:00,3982,0,2926,689,,60,254,50
2021/2/5,16:00,4062,0,3058,802,,58,72,62
2021/2/5,17:00,4116,0,3172,856,,59,4,70
2021/2/5,18:00,4140,0,3178,921,,59,0,71
2021/2/5,19:00,4005,0,3118,870,,60,0,67
2021/2/5,20:00,3878,0,3101,793,,59,0,67
2021/2/5,21:00,3764,0,3110,728,,60,0,69
