DATE,TIME,当日実績(万kW)
2020/01/31,00:00,1468
2020/01/31,01:00,1444
2020/01/31,02:00,1454
2020/01/31,03:00,1452
2020/01/31,04:00,1449
2020/01/31,05:00,1497
2020/01/31,06:00,1645
2020/01/31,07:00,1774
2020/01/31,08:00,1955
2020/01/31,09:00,2015
2020/01/31,10:00,1967
2020/01/31,11:00,1921
2020/01/31,12:00,1785
2020/01/31,13:00,1870
2020/01/31,14:00,1861
2020/01/31,15:00,1849
2020/01/31,16:00,1886
2020/01/31,17:00,1921
2020/01/31,18:00,1924
2020/01/31,19:00,1875
2020/01/31,20:00,1826
2020/01/31,21:00,1777
2020/01/31,22:00,1704
2020/01/31,23:00,1649
